text,type,start,end,method,article_id,article_url,article_domain,article_theme
Journey,PERSON,0,7,nltk,910,https://markets.financialcontent.com/stocks/quote?Symbol=537:25340697,markets.financialcontent.com,MEDICAL
Medical Corporation,ORGANIZATION,8,27,nltk,910,https://markets.financialcontent.com/stocks/quote?Symbol=537:25340697,markets.financialcontent.com,MEDICAL
Common Stock,ORGANIZATION,30,42,nltk,910,https://markets.financialcontent.com/stocks/quote?Symbol=537:25340697,markets.financialcontent.com,MEDICAL
Nasdaq,PERSON,45,51,nltk,910,https://markets.financialcontent.com/stocks/quote?Symbol=537:25340697,markets.financialcontent.com,MEDICAL
Stock Quote,PERSON,61,72,nltk,910,https://markets.financialcontent.com/stocks/quote?Symbol=537:25340697,markets.financialcontent.com,MEDICAL
Medical,GPE,0,7,nltk,911,https://en.antaranews.com/news/352733/medical-device-exports-at-us273-mln-in-2024-ministry,en.antaranews.com,MEDICAL
US,ORGANIZATION,26,28,nltk,911,https://en.antaranews.com/news/352733/medical-device-exports-at-us273-mln-in-2024-ministry,en.antaranews.com,MEDICAL
New,GPE,0,3,nltk,912,https://pjmedia.com/catherinesalgado/2025/04/25/new-report-exposes-dei-in-medical-school-n4939220,pjmedia.com,MEDICAL
Report Exposes,PERSON,4,18,nltk,912,https://pjmedia.com/catherinesalgado/2025/04/25/new-report-exposes-dei-in-medical-school-n4939220,pjmedia.com,MEDICAL
Medical Schools,ORGANIZATION,26,41,nltk,912,https://pjmedia.com/catherinesalgado/2025/04/25/new-report-exposes-dei-in-medical-school-n4939220,pjmedia.com,MEDICAL
Medicine Sciences,ORGANIZATION,16,33,nltk,914,https://www.myjoyonline.com/knust-school-of-medicine-sciences-at-50-seeks-increased-investment-in-medical-education/,myjoyonline.com,MEDICAL
Seeks,PERSON,42,47,nltk,914,https://www.myjoyonline.com/knust-school-of-medicine-sciences-at-50-seeks-increased-investment-in-medical-education/,myjoyonline.com,MEDICAL
Credit Card To Cover,ORGANIZATION,13,33,nltk,915,https://www.bankrate.com/credit-cards/advice/cover-health-expenses-with-credit-card/,bankrate.com,MEDICAL
US,GSP,38,40,nltk,916,https://www.dawn.com/news/1903083/over-1000-pakistani-doctors-obtain-us-residency-in-one-year-pmdc,dawn.com,MEDICAL
PMDC,ORGANIZATION,65,69,nltk,916,https://www.dawn.com/news/1903083/over-1000-pakistani-doctors-obtain-us-residency-in-one-year-pmdc,dawn.com,MEDICAL
Pakistan,GPE,13,21,nltk,916,https://www.dawn.com/news/1903083/over-1000-pakistani-doctors-obtain-us-residency-in-one-year-pmdc,dawn.com,MEDICAL
Select,PERSON,0,6,nltk,917,https://www.prnewswire.com/news-releases/select-medical-holdings-corporation-to-announce-first-quarter-2025-results-on-thursday-may-1-2025-302423708.html,prnewswire.com,MEDICAL
Medical Holdings Corporation,ORGANIZATION,7,35,nltk,917,https://www.prnewswire.com/news-releases/select-medical-holdings-corporation-to-announce-first-quarter-2025-results-on-thursday-may-1-2025-302423708.html,prnewswire.com,MEDICAL
Announce First,PERSON,39,53,nltk,917,https://www.prnewswire.com/news-releases/select-medical-holdings-corporation-to-announce-first-quarter-2025-results-on-thursday-may-1-2025-302423708.html,prnewswire.com,MEDICAL
Denis Medical,PERSON,9,22,nltk,918,https://decider.com/2025/04/08/is-st-denis-medical-on-tonight-st-denis-medical-nbc-return-date-episode-17/,decider.com,MEDICAL
Tonight,PERSON,27,34,nltk,918,https://decider.com/2025/04/08/is-st-denis-medical-on-tonight-st-denis-medical-nbc-return-date-episode-17/,decider.com,MEDICAL
St,PERSON,4,6,nltk,918,https://decider.com/2025/04/08/is-st-denis-medical-on-tonight-st-denis-medical-nbc-return-date-episode-17/,decider.com,MEDICAL
Denis Medical Returns,PERSON,-1,20,nltk,918,https://decider.com/2025/04/08/is-st-denis-medical-on-tonight-st-denis-medical-nbc-return-date-episode-17/,decider.com,MEDICAL
New Episodes,GPE,81,93,nltk,918,https://decider.com/2025/04/08/is-st-denis-medical-on-tonight-st-denis-medical-nbc-return-date-episode-17/,decider.com,MEDICAL
NBC,ORGANIZATION,97,100,nltk,918,https://decider.com/2025/04/08/is-st-denis-medical-on-tonight-st-denis-medical-nbc-return-date-episode-17/,decider.com,MEDICAL
NEET,ORGANIZATION,21,25,nltk,919,https://timesofindia.indiatimes.com/education/news/government-increases-neet-ug-and-pg-seats-to-meet-rising-demand-for-medical-professionals/articleshow/119944884.cms,timesofindia.indiatimes.com,MEDICAL
PG,ORGANIZATION,33,35,nltk,919,https://timesofindia.indiatimes.com/education/news/government-increases-neet-ug-and-pg-seats-to-meet-rising-demand-for-medical-professionals/articleshow/119944884.cms,timesofindia.indiatimes.com,MEDICAL
New,GPE,0,3,nltk,920,https://www.yahoo.com/news/problems-pop-eve-cannabis-licensing-225231520.html,yahoo.com,MEDICAL
Concord Medical Services Holdings Limited American,ORGANIZATION,0,50,nltk,921,https://markets.financialcontent.com/stocks/quote?Symbol=321:10769291,markets.financialcontent.com,MEDICAL
NYSE,ORGANIZATION,78,82,nltk,921,https://markets.financialcontent.com/stocks/quote?Symbol=321:10769291,markets.financialcontent.com,MEDICAL
Stock Quote,PERSON,91,102,nltk,921,https://markets.financialcontent.com/stocks/quote?Symbol=321:10769291,markets.financialcontent.com,MEDICAL
Karnataka,PERSON,0,9,nltk,924,https://www.freepressjournal.in/education/karnataka-govt-urges-national-medical-commission-to-increase-seats-nationwide-amid-surge-in-neet-aspirants,freepressjournal.in,MEDICAL
Urges National Medical,PERSON,15,37,nltk,924,https://www.freepressjournal.in/education/karnataka-govt-urges-national-medical-commission-to-increase-seats-nationwide-amid-surge-in-neet-aspirants,freepressjournal.in,MEDICAL
Increase Seats Nationwide Amid Surge,PERSON,52,88,nltk,924,https://www.freepressjournal.in/education/karnataka-govt-urges-national-medical-commission-to-increase-seats-nationwide-amid-surge-in-neet-aspirants,freepressjournal.in,MEDICAL
NEET,ORGANIZATION,92,96,nltk,924,https://www.freepressjournal.in/education/karnataka-govt-urges-national-medical-commission-to-increase-seats-nationwide-amid-surge-in-neet-aspirants,freepressjournal.in,MEDICAL
Basel,PERSON,0,5,nltk,925,https://markets.financialcontent.com/stocks/quote?Symbol=537:2578432394,markets.financialcontent.com,MEDICAL
Medical Group Ltd,ORGANIZATION,6,23,nltk,925,https://markets.financialcontent.com/stocks/quote?Symbol=537:2578432394,markets.financialcontent.com,MEDICAL
Nasdaq,PERSON,44,50,nltk,925,https://markets.financialcontent.com/stocks/quote?Symbol=537:2578432394,markets.financialcontent.com,MEDICAL
Stock Quote,PERSON,60,71,nltk,925,https://markets.financialcontent.com/stocks/quote?Symbol=537:2578432394,markets.financialcontent.com,MEDICAL
GetInsured,ORGANIZATION,0,10,nltk,927,https://www.globenewswire.com/news-release/2025/04/23/3066477/0/en/GetInsured-Forgives-2-5M-in-Medical-Debt-Its-Largest-Relief-Effort-So-Far.html,globenewswire.com,MEDICAL
Medical Debt,ORGANIZATION,31,43,nltk,927,https://www.globenewswire.com/news-release/2025/04/23/3066477/0/en/GetInsured-Forgives-2-5M-in-Medical-Debt-Its-Largest-Relief-Effort-So-Far.html,globenewswire.com,MEDICAL
NMC,ORGANIZATION,0,3,nltk,928,https://timesofindia.indiatimes.com/education/news/nmc-releases-provisional-ug-pg-medical-seat-count-for-2024-25-colleges-asked-to-verify-within-15-days-check-official-notice-and-other-details-here/articleshow/120099066.cms,timesofindia.indiatimes.com,MEDICAL
PG,ORGANIZATION,30,32,nltk,928,https://timesofindia.indiatimes.com/education/news/nmc-releases-provisional-ug-pg-medical-seat-count-for-2024-25-colleges-asked-to-verify-within-15-days-check-official-notice-and-other-details-here/articleshow/120099066.cms,timesofindia.indiatimes.com,MEDICAL
Check,PERSON,110,115,nltk,928,https://timesofindia.indiatimes.com/education/news/nmc-releases-provisional-ug-pg-medical-seat-count-for-2024-25-colleges-asked-to-verify-within-15-days-check-official-notice-and-other-details-here/articleshow/120099066.cms,timesofindia.indiatimes.com,MEDICAL
NMC,ORGANIZATION,0,3,nltk,929,https://www.freepressjournal.in/education/nmc-makes-bcmet-course-mandatory-for-medical-faculty-promotions,freepressjournal.in,MEDICAL
Makes BCMET Course Mandatory,PERSON,4,32,nltk,929,https://www.freepressjournal.in/education/nmc-makes-bcmet-course-mandatory-for-medical-faculty-promotions,freepressjournal.in,MEDICAL
For Medical Faculty,ORGANIZATION,33,52,nltk,929,https://www.freepressjournal.in/education/nmc-makes-bcmet-course-mandatory-for-medical-faculty-promotions,freepressjournal.in,MEDICAL
Karnataka,GPE,0,9,nltk,930,https://www.thehindu.com/news/national/karnataka/karnataka-submits-proposal-to-nmc-for-enhancement-of-ug-pg-seats/article69409027.ece,thehindu.com,MEDICAL
NMC,ORGANIZATION,30,33,nltk,930,https://www.thehindu.com/news/national/karnataka/karnataka-submits-proposal-to-nmc-for-enhancement-of-ug-pg-seats/article69409027.ece,thehindu.com,MEDICAL
UG,ORGANIZATION,53,55,nltk,930,https://www.thehindu.com/news/national/karnataka/karnataka-submits-proposal-to-nmc-for-enhancement-of-ug-pg-seats/article69409027.ece,thehindu.com,MEDICAL
PG,ORGANIZATION,58,60,nltk,930,https://www.thehindu.com/news/national/karnataka/karnataka-submits-proposal-to-nmc-for-enhancement-of-ug-pg-seats/article69409027.ece,thehindu.com,MEDICAL
Oregon,GPE,0,6,nltk,931,https://katu.com/news/politics/medical-debt-credit-score-oregon-senate-advances-bill-shield-consumers-report-money-politics-protection-budget,katu.com,MEDICAL
Senate,ORGANIZATION,7,13,nltk,931,https://katu.com/news/politics/medical-debt-credit-score-oregon-senate-advances-bill-shield-consumers-report-money-politics-protection-budget,katu.com,MEDICAL
US,GSP,0,2,nltk,932,https://www.healio.com/news/psychiatry/20250425/us-adults-with-medical-debt-more-likely-to-forgo-mental-health-care,healio.com,MEDICAL
Top,PERSON,0,3,nltk,933,https://www.jagranjosh.com/colleges/top-medical-colleges-in-india-through-neet-fees-admission-cutoff-and-placements-clga-1708948233-1,jagranjosh.com,MEDICAL
Medical Colleges,ORGANIZATION,4,20,nltk,933,https://www.jagranjosh.com/colleges/top-medical-colleges-in-india-through-neet-fees-admission-cutoff-and-placements-clga-1708948233-1,jagranjosh.com,MEDICAL
India,GPE,24,29,nltk,933,https://www.jagranjosh.com/colleges/top-medical-colleges-in-india-through-neet-fees-admission-cutoff-and-placements-clga-1708948233-1,jagranjosh.com,MEDICAL
Admission,ORGANIZATION,57,66,nltk,933,https://www.jagranjosh.com/colleges/top-medical-colleges-in-india-through-neet-fees-admission-cutoff-and-placements-clga-1708948233-1,jagranjosh.com,MEDICAL
Cutoff,PERSON,69,75,nltk,933,https://www.jagranjosh.com/colleges/top-medical-colleges-in-india-through-neet-fees-admission-cutoff-and-placements-clga-1708948233-1,jagranjosh.com,MEDICAL
Hi,GPE,0,2,nltk,934,https://www.globenewswire.com/news-release/2025/04/07/3056609/28124/en/Hi-Tech-Medical-Devices-Global-Strategic-Business-Report-2025-2030-Featuring-Apple-Estone-Garmin-Google-Honeywell-International-Medtronic-Omron-Healthcare-Sony-Winmate-and-Xiaomi.html,globenewswire.com,MEDICAL
Tech Medical,PERSON,5,17,nltk,934,https://www.globenewswire.com/news-release/2025/04/07/3056609/28124/en/Hi-Tech-Medical-Devices-Global-Strategic-Business-Report-2025-2030-Featuring-Apple-Estone-Garmin-Google-Honeywell-International-Medtronic-Omron-Healthcare-Sony-Winmate-and-Xiaomi.html,globenewswire.com,MEDICAL
Global Strategic Business Report,PERSON,26,58,nltk,934,https://www.globenewswire.com/news-release/2025/04/07/3056609/28124/en/Hi-Tech-Medical-Devices-Global-Strategic-Business-Report-2025-2030-Featuring-Apple-Estone-Garmin-Google-Honeywell-International-Medtronic-Omron-Healthcare-Sony-Winmate-and-Xiaomi.html,globenewswire.com,MEDICAL
Medtec,PERSON,0,6,nltk,935,https://aninews.in/news/business/medtec-southeast-asia-2025-the-southeast-asias-premier-medical-device-design-amp-manufacturing-exhibition-debuts-in-malaysia20250410150253/,aninews.in,MEDICAL
Southeast Asia,LOCATION,7,21,nltk,935,https://aninews.in/news/business/medtec-southeast-asia-2025-the-southeast-asias-premier-medical-device-design-amp-manufacturing-exhibition-debuts-in-malaysia20250410150253/,aninews.in,MEDICAL
Southeast Asia,LOCATION,7,21,nltk,935,https://aninews.in/news/business/medtec-southeast-asia-2025-the-southeast-asias-premier-medical-device-design-amp-manufacturing-exhibition-debuts-in-malaysia20250410150253/,aninews.in,MEDICAL
Medical Device,PERSON,56,70,nltk,935,https://aninews.in/news/business/medtec-southeast-asia-2025-the-southeast-asias-premier-medical-device-design-amp-manufacturing-exhibition-debuts-in-malaysia20250410150253/,aninews.in,MEDICAL
Malaysia,GPE,115,123,nltk,935,https://aninews.in/news/business/medtec-southeast-asia-2025-the-southeast-asias-premier-medical-device-design-amp-manufacturing-exhibition-debuts-in-malaysia20250410150253/,aninews.in,MEDICAL
Chinese,GPE,0,7,nltk,936,http://www.china.org.cn/2025-04/22/content_117837260.shtml,china.org.cn,MEDICAL
Mozambican,GPE,10,20,nltk,936,http://www.china.org.cn/2025-04/22/content_117837260.shtml,china.org.cn,MEDICAL
Ashish Sood,PERSON,9,20,nltk,937,https://www.prokerala.com/news/articles/a1629124.html,prokerala.com,MEDICAL
Delhi,PERSON,43,48,nltk,937,https://www.prokerala.com/news/articles/a1629124.html,prokerala.com,MEDICAL
NeuroOne,ORGANIZATION,0,8,nltk,938,https://markets.financialcontent.com/stocks/quote?Symbol=537:37364461,markets.financialcontent.com,MEDICAL
Medical Technologies Corporation,ORGANIZATION,9,41,nltk,938,https://markets.financialcontent.com/stocks/quote?Symbol=537:37364461,markets.financialcontent.com,MEDICAL
Common Stock,ORGANIZATION,44,56,nltk,938,https://markets.financialcontent.com/stocks/quote?Symbol=537:37364461,markets.financialcontent.com,MEDICAL
Nasdaq,PERSON,59,65,nltk,938,https://markets.financialcontent.com/stocks/quote?Symbol=537:37364461,markets.financialcontent.com,MEDICAL
Stock Quote,PERSON,75,86,nltk,938,https://markets.financialcontent.com/stocks/quote?Symbol=537:37364461,markets.financialcontent.com,MEDICAL
OMSA,ORGANIZATION,0,4,nltk,939,https://timesofindia.indiatimes.com/city/bhubaneswar/omsa-gives-govt-a-months-deadline-to-address-demands/articleshow/120460950.cms,timesofindia.indiatimes.com,MEDICAL
Chinese,GPE,0,7,nltk,940,https://www.thestar.com.my/news/world/2025/04/22/chinese-mozambican-hospitals-hold-remote-medical-consultation-on-complex-cases,thestar.com.my,MEDICAL
Mozambican,GPE,10,20,nltk,940,https://www.thestar.com.my/news/world/2025/04/22/chinese-mozambican-hospitals-hold-remote-medical-consultation-on-complex-cases,thestar.com.my,MEDICAL
Lee Jae,PERSON,0,7,nltk,941,https://www.koreaherald.com:443/article/10471145,koreaherald.com,MEDICAL
CMVC,ORGANIZATION,0,4,nltk,942,https://www.globenewswire.com/news-release/2025/04/22/3065701/0/en/CMVC-Acquires-Orlando-Medical-Institute-Expanding-Its-Healthcare-Education-Portfolio-with-Paramedic-and-Emergency-Medical-Programs.html,globenewswire.com,MEDICAL
Acquires Orlando Medical Institute,PERSON,5,39,nltk,942,https://www.globenewswire.com/news-release/2025/04/22/3065701/0/en/CMVC-Acquires-Orlando-Medical-Institute-Expanding-Its-Healthcare-Education-Portfolio-with-Paramedic-and-Emergency-Medical-Programs.html,globenewswire.com,MEDICAL
India,GPE,0,5,nltk,943,https://www.financialexpress.com/business/healthcare/indias-healthcare-costs-to-rise-13-in-2025-beat-global-average-report/3800929/,financialexpress.com,MEDICAL
Healthcare News,ORGANIZATION,77,92,nltk,943,https://www.financialexpress.com/business/healthcare/indias-healthcare-costs-to-rise-13-in-2025-beat-global-average-report/3800929/,financialexpress.com,MEDICAL
Medical,GPE,0,7,nltk,944,https://medicalxpress.com/news/2025-04-medical-debt-higher-likelihood-forgone.html,medicalxpress.com,MEDICAL
Walk,PERSON,17,21,nltk,945,https://www.yahoo.com/news/mercyone-holding-walk-wednesday-hiring-170640846.html,yahoo.com,MEDICAL
Ghana,PERSON,10,15,nltk,946,https://www.myjoyonline.com/expanding-ghanas-healthcare-market-the-rise-of-medical-tourism/,myjoyonline.com,MEDICAL
Medtec Free,ORGANIZATION,5,16,nltk,947,https://www.manilatimes.net/2025/04/24/tmt-newswire/pr-newswire/2025-medtec-free-pre-registration-kicks-off-meet-over-1000-chinese-local-enterprises/2098156,manilatimes.net,MEDICAL
Kicks Off,PERSON,36,45,nltk,947,https://www.manilatimes.net/2025/04/24/tmt-newswire/pr-newswire/2025-medtec-free-pre-registration-kicks-off-meet-over-1000-chinese-local-enterprises/2098156,manilatimes.net,MEDICAL
Chinese,GPE,63,70,nltk,947,https://www.manilatimes.net/2025/04/24/tmt-newswire/pr-newswire/2025-medtec-free-pre-registration-kicks-off-meet-over-1000-chinese-local-enterprises/2098156,manilatimes.net,MEDICAL
Local Enterprises,ORGANIZATION,71,88,nltk,947,https://www.manilatimes.net/2025/04/24/tmt-newswire/pr-newswire/2025-medtec-free-pre-registration-kicks-off-meet-over-1000-chinese-local-enterprises/2098156,manilatimes.net,MEDICAL
NTPL,ORGANIZATION,0,4,nltk,948,https://www.thehindu.com/news/cities/Madurai/ntpl-dedicates-medical-equipment-worth-77-lakh-to-medical-college-hospital/article69432145.ece,thehindu.com,MEDICAL
Health,GPE,0,6,nltk,949,https://www.archdaily.com/1028705/health-and-medical-research-building-architectus,archdaily.com,MEDICAL
Medical Research,ORGANIZATION,11,27,nltk,949,https://www.archdaily.com/1028705/health-and-medical-research-building-architectus,archdaily.com,MEDICAL
Got,GPE,0,3,nltk,950,https://www.spokesman.com/stories/2025/apr/23/got-medical-debt-new-state-law-riccelli-sponsored-/,spokesman.com,MEDICAL
Riccelli,PERSON,33,41,nltk,950,https://www.spokesman.com/stories/2025/apr/23/got-medical-debt-new-state-law-riccelli-sponsored-/,spokesman.com,MEDICAL
Washington,GPE,65,75,nltk,950,https://www.spokesman.com/stories/2025/apr/23/got-medical-debt-new-state-law-riccelli-sponsored-/,spokesman.com,MEDICAL
Medical School Admissions Quota,ORGANIZATION,27,58,nltk,951,http://world.kbs.co.kr/service/news_view.htm?lang=e&Seq_Code=192434,world.kbs.co.kr,MEDICAL
KBS,ORGANIZATION,77,80,nltk,951,http://world.kbs.co.kr/service/news_view.htm?lang=e&Seq_Code=192434,world.kbs.co.kr,MEDICAL
Macao,PERSON,0,5,nltk,952,http://www.china.org.cn/2025-04/25/content_117844122.shtml,china.org.cn,MEDICAL
SAR,ORGANIZATION,6,9,nltk,952,http://www.china.org.cn/2025-04/25/content_117844122.shtml,china.org.cn,MEDICAL
Myanmar,GPE,42,49,nltk,952,http://www.china.org.cn/2025-04/25/content_117844122.shtml,china.org.cn,MEDICAL
Nepal,PERSON,0,5,nltk,953,https://www.prokerala.com/news/articles/a1628775.html,prokerala.com,MEDICAL
Medical Association,ORGANIZATION,6,25,nltk,953,https://www.prokerala.com/news/articles/a1628775.html,prokerala.com,MEDICAL
Kestra,PERSON,0,6,nltk,954,https://markets.financialcontent.com/stocks/quote?Symbol=537:2578432617,markets.financialcontent.com,MEDICAL
Medical Technologies,ORGANIZATION,7,27,nltk,954,https://markets.financialcontent.com/stocks/quote?Symbol=537:2578432617,markets.financialcontent.com,MEDICAL
Ltd,PERSON,30,33,nltk,954,https://markets.financialcontent.com/stocks/quote?Symbol=537:2578432617,markets.financialcontent.com,MEDICAL
Common Stock,ORGANIZATION,38,50,nltk,954,https://markets.financialcontent.com/stocks/quote?Symbol=537:2578432617,markets.financialcontent.com,MEDICAL
Nasdaq,PERSON,53,59,nltk,954,https://markets.financialcontent.com/stocks/quote?Symbol=537:2578432617,markets.financialcontent.com,MEDICAL
Stock Quote,PERSON,69,80,nltk,954,https://markets.financialcontent.com/stocks/quote?Symbol=537:2578432617,markets.financialcontent.com,MEDICAL
Natl,PERSON,0,4,nltk,955,https://timesofindia.indiatimes.com/city/mangaluru/natl-ug-medical-research-conference-from-tomorrow/articleshow/120459588.cms,timesofindia.indiatimes.com,MEDICAL
Mangaluru News,PERSON,52,66,nltk,955,https://timesofindia.indiatimes.com/city/mangaluru/natl-ug-medical-research-conference-from-tomorrow/articleshow/120459588.cms,timesofindia.indiatimes.com,MEDICAL
Basel,PERSON,0,5,nltk,956,https://www.manilatimes.net/2025/04/11/tmt-newswire/globenewswire/basel-medical-group-signs-agreement-to-acquire-bethesda-medical-to-strengthen-healthcare-ecosystem-in-singapore-and-southeast-asia/2090739,manilatimes.net,MEDICAL
Medical Group Signs,ORGANIZATION,6,25,nltk,956,https://www.manilatimes.net/2025/04/11/tmt-newswire/globenewswire/basel-medical-group-signs-agreement-to-acquire-bethesda-medical-to-strengthen-healthcare-ecosystem-in-singapore-and-southeast-asia/2090739,manilatimes.net,MEDICAL
Acquire Bethesda Medical,PERSON,39,63,nltk,956,https://www.manilatimes.net/2025/04/11/tmt-newswire/globenewswire/basel-medical-group-signs-agreement-to-acquire-bethesda-medical-to-strengthen-healthcare-ecosystem-in-singapore-and-southeast-asia/2090739,manilatimes.net,MEDICAL
Strengthen Healthcare Ecosystem,PERSON,67,98,nltk,956,https://www.manilatimes.net/2025/04/11/tmt-newswire/globenewswire/basel-medical-group-signs-agreement-to-acquire-bethesda-medical-to-strengthen-healthcare-ecosystem-in-singapore-and-southeast-asia/2090739,manilatimes.net,MEDICAL
Singapore,GPE,102,111,nltk,956,https://www.manilatimes.net/2025/04/11/tmt-newswire/globenewswire/basel-medical-group-signs-agreement-to-acquire-bethesda-medical-to-strengthen-healthcare-ecosystem-in-singapore-and-southeast-asia/2090739,manilatimes.net,MEDICAL
Southeast Asia,LOCATION,116,130,nltk,956,https://www.manilatimes.net/2025/04/11/tmt-newswire/globenewswire/basel-medical-group-signs-agreement-to-acquire-bethesda-medical-to-strengthen-healthcare-ecosystem-in-singapore-and-southeast-asia/2090739,manilatimes.net,MEDICAL
US,GSP,0,2,nltk,957,https://punchng.com/us-canada-doctors-join-nigerian-professionals-to-improve-healthcare-in-lagos/,punchng.com,MEDICAL
Canada,GPE,5,11,nltk,957,https://punchng.com/us-canada-doctors-join-nigerian-professionals-to-improve-healthcare-in-lagos/,punchng.com,MEDICAL
Nigerian,GPE,25,33,nltk,957,https://punchng.com/us-canada-doctors-join-nigerian-professionals-to-improve-healthcare-in-lagos/,punchng.com,MEDICAL
Lagos,GPE,73,78,nltk,957,https://punchng.com/us-canada-doctors-join-nigerian-professionals-to-improve-healthcare-in-lagos/,punchng.com,MEDICAL
Akwa,PERSON,0,4,nltk,959,https://leadership.ng/akwa-ibom-doctors-issue-21-day-strike-notice-to-uniuyo-over-welfare/,leadership.ng,MEDICAL
Ibom Doctors,ORGANIZATION,5,17,nltk,959,https://leadership.ng/akwa-ibom-doctors-issue-21-day-strike-notice-to-uniuyo-over-welfare/,leadership.ng,MEDICAL
Strike Notice,PERSON,33,46,nltk,959,https://leadership.ng/akwa-ibom-doctors-issue-21-day-strike-notice-to-uniuyo-over-welfare/,leadership.ng,MEDICAL
UNIUYO Over Welfare,ORGANIZATION,50,69,nltk,959,https://leadership.ng/akwa-ibom-doctors-issue-21-day-strike-notice-to-uniuyo-over-welfare/,leadership.ng,MEDICAL
Medtec,PERSON,0,6,nltk,960,https://www.manilatimes.net/2025/04/10/tmt-newswire/pr-newswire/medtec-southeast-asia-2025-the-southeast-asias-premier-medical-device-design-manufacturing-exhibition-debuts-in-malaysia/2089960,manilatimes.net,MEDICAL
Southeast Asia,LOCATION,7,21,nltk,960,https://www.manilatimes.net/2025/04/10/tmt-newswire/pr-newswire/medtec-southeast-asia-2025-the-southeast-asias-premier-medical-device-design-manufacturing-exhibition-debuts-in-malaysia/2089960,manilatimes.net,MEDICAL
Southeast Asia,LOCATION,7,21,nltk,960,https://www.manilatimes.net/2025/04/10/tmt-newswire/pr-newswire/medtec-southeast-asia-2025-the-southeast-asias-premier-medical-device-design-manufacturing-exhibition-debuts-in-malaysia/2089960,manilatimes.net,MEDICAL
Medical Device,PERSON,56,70,nltk,960,https://www.manilatimes.net/2025/04/10/tmt-newswire/pr-newswire/medtec-southeast-asia-2025-the-southeast-asias-premier-medical-device-design-manufacturing-exhibition-debuts-in-malaysia/2089960,manilatimes.net,MEDICAL
Malaysia,GPE,115,123,nltk,960,https://www.manilatimes.net/2025/04/10/tmt-newswire/pr-newswire/medtec-southeast-asia-2025-the-southeast-asias-premier-medical-device-design-manufacturing-exhibition-debuts-in-malaysia/2089960,manilatimes.net,MEDICAL
Fractal,GPE,0,7,nltk,961,https://timesofindia.indiatimes.com/business/india-business/fractal-proposes-indigenous-ai-medical-models-to-improve-healthcare/articleshow/120588868.cms,timesofindia.indiatimes.com,MEDICAL
Medical,GPE,0,7,nltk,962,https://www.boredpanda.com/med-students-accused-of-mocking-woman-who-had-4-transplants/?cexp_id=122172&cexp_var=30&_f=homepage_featured,boredpanda.com,MEDICAL
Students Accused Of Mocking,ORGANIZATION,8,35,nltk,962,https://www.boredpanda.com/med-students-accused-of-mocking-woman-who-had-4-transplants/?cexp_id=122172&cexp_var=30&_f=homepage_featured,boredpanda.com,MEDICAL
Woman Who,PERSON,36,45,nltk,962,https://www.boredpanda.com/med-students-accused-of-mocking-woman-who-had-4-transplants/?cexp_id=122172&cexp_var=30&_f=homepage_featured,boredpanda.com,MEDICAL
Medical,GPE,0,7,nltk,963,https://www.boredpanda.com/med-students-accused-of-mocking-woman-who-had-4-transplants/?cexp_id=122172&cexp_var=17&_f=homepage_featured,boredpanda.com,MEDICAL
Students Accused Of Mocking,ORGANIZATION,8,35,nltk,963,https://www.boredpanda.com/med-students-accused-of-mocking-woman-who-had-4-transplants/?cexp_id=122172&cexp_var=17&_f=homepage_featured,boredpanda.com,MEDICAL
Woman Who,PERSON,36,45,nltk,963,https://www.boredpanda.com/med-students-accused-of-mocking-woman-who-had-4-transplants/?cexp_id=122172&cexp_var=17&_f=homepage_featured,boredpanda.com,MEDICAL
Patient Mocked By Med Students Files,ORGANIZATION,25,61,nltk,964,https://www.boredpanda.com/med-students-accused-of-mocking-woman-who-had-4-transplants/?cexp_id=122177&cexp_var=11&_f=homepage_featured,boredpanda.com,MEDICAL
Video Goes Viral,PERSON,78,94,nltk,964,https://www.boredpanda.com/med-students-accused-of-mocking-woman-who-had-4-transplants/?cexp_id=122177&cexp_var=11&_f=homepage_featured,boredpanda.com,MEDICAL
Lowenthal,PERSON,0,9,nltk,965,https://www.manilatimes.net/2025/04/01/tmt-newswire/globenewswire/lowenthal-abrams-expands-focus-on-medical-malpractice-in-pittsburgh-and-western-pennsylvania-as-misdiagnosis-cases-soar/2084506,manilatimes.net,MEDICAL
Abrams Expands,PERSON,12,26,nltk,965,https://www.manilatimes.net/2025/04/01/tmt-newswire/globenewswire/lowenthal-abrams-expands-focus-on-medical-malpractice-in-pittsburgh-and-western-pennsylvania-as-misdiagnosis-cases-soar/2084506,manilatimes.net,MEDICAL
Medical Malpractice,ORGANIZATION,36,55,nltk,965,https://www.manilatimes.net/2025/04/01/tmt-newswire/globenewswire/lowenthal-abrams-expands-focus-on-medical-malpractice-in-pittsburgh-and-western-pennsylvania-as-misdiagnosis-cases-soar/2084506,manilatimes.net,MEDICAL
Pittsburgh,GPE,59,69,nltk,965,https://www.manilatimes.net/2025/04/01/tmt-newswire/globenewswire/lowenthal-abrams-expands-focus-on-medical-malpractice-in-pittsburgh-and-western-pennsylvania-as-misdiagnosis-cases-soar/2084506,manilatimes.net,MEDICAL
Western Pennsylvania,LOCATION,74,94,nltk,965,https://www.manilatimes.net/2025/04/01/tmt-newswire/globenewswire/lowenthal-abrams-expands-focus-on-medical-malpractice-in-pittsburgh-and-western-pennsylvania-as-misdiagnosis-cases-soar/2084506,manilatimes.net,MEDICAL
